title,uri,text,html
"Assistant Professor Gaoqing Zhang Reveals Pressure to Manipulate",https://carlsonschool.umn.edu/news/pressure-to-manipulate-financial-reports,,"<p style=""font-size:2.8rem;"">Stronger internal controls could benefit industry</p>"
"Assistant Professor Gaoqing Zhang Reveals Pressure to Manipulate",https://carlsonschool.umn.edu/news/pressure-to-manipulate-financial-reports,,"<p style=""font-size:2.8rem;"">The power of peer pressure</p>"
"Global Matters Speaker Series | Carlson School of Management",https://carlsonschool.umn.edu/centers-institutes/carlson-global-institute/global-matters/speaker-series,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;""><strong>The Economics of Trade Wars: 25 Years of NAFTA</strong></p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""mb-4 h3""><em>May. 14</em></p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#18</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#5</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">91%</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#10</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#2</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#4</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#18</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#5</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">91%</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#10</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#2</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#4</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#18</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">#5</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front-statistics__item__number mb-6"">91%</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front__advantage__subheading text-uppercase mb-2 font-weight-semi-bold"">Reputation and rankings</p>"
"Carlson School of Management | University of Minnesota",https://carlsonschool.umn.edu/,,"<p class=""front__advantage__subheading text-uppercase mb-2 font-weight-semi-bold"">Join a vibrant business community</p>"
"Executive MBA Events | Carlson School",https://carlsonschool.umn.edu/graduate/mba/executive/events,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Get a glimpse into a Carlson School EMBA class</p>"
"Executive MBA Events | Carlson School",https://carlsonschool.umn.edu/graduate/mba/executive/events?page=4,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Get a glimpse into a Carlson School EMBA class</p>"
"Entrepreneurship Through Acquisition Conference Schedule",https://carlsonschool.umn.edu/conferences/entrepreneurship-through-acquisition/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Conference Check-in Opens</p>"
"Entrepreneurship Through Acquisition Conference Schedule",https://carlsonschool.umn.edu/conferences/entrepreneurship-through-acquisition/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Student Forum</p>"
"Entrepreneurship Through Acquisition Conference Schedule",https://carlsonschool.umn.edu/conferences/entrepreneurship-through-acquisition/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Welcome and Keynote Speaker&nbsp;</p>"
"Entrepreneurship Through Acquisition Conference Schedule",https://carlsonschool.umn.edu/conferences/entrepreneurship-through-acquisition/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Brian Slipka '00 BSB</p>"
"Entrepreneurship Through Acquisition Conference Schedule",https://carlsonschool.umn.edu/conferences/entrepreneurship-through-acquisition/schedule,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Breakout Session I</p>"
