label,path,http_code,request_total_s,request_ttfb_s,query_count,query_total_s,max_query_s,request_rows_examined,request_rows_sent,rank,group_count,group_total_s,group_max_s,group_rows_examined,group_rows_sent,normalized_sql,example_sql,url
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,1,44,0.010366,0.000347,2,2,"SELECT DISTINCT ""d"".""plugin_id"" AS ""plugin_id"" FROM ""group_relationship_field_data"" ""d"" WHERE (""entity_id"" = '?') AND (""plugin_id"" IN ('?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?'));","SELECT DISTINCT ""d"".""plugin_id"" AS ""plugin_id"" FROM ""group_relationship_field_data"" ""d"" WHERE (""entity_id"" = '106836') AND (""plugin_id"" IN ('group_node:alumni_default_page', 'group_node:alumni_landing_page', 'group_node:blog_entry', 'group_node:conference', 'group_node:curriculum_plan', 'group_node:education_abroad_program', 'group_node:email_page', 'group_node:event', 'group_node:executive_ed_landing_page', 'group_node:executive_ed_program', 'group_node:faces', 'group_node:faculty_profile', 'group_node:front_page', 'group_node:landing_page', 'group_node:magazine', 'group_node:news', 'group_node:news_landing', 'group_node:page', 'group_node:person', 'group_node:quiz', 'group_node:session', 'group_node:student', 'group_node:video', 'group_node:webform'));",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,2,83,0.008466,0.000779,83,83,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_discovery"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_discovery"" WHERE ""cid"" IN ( 'last_write_timestamp_cache_discovery' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,3,1,0.004930,0.004930,2,1,"SELECT ""node_field_data"".""created"" AS ""node_field_data_created"", ""node_field_data"".""nid"" AS ""nid"" FROM ""node_field_data"" ""node_field_data"" LEFT OUTER JOIN ""group_relationship_field_data"" ""gcfd"" ON node_field_data.nid=gcfd.entity_id AND gcfd.plugin_id IN ('?', '?', '?', '?', '?', '?') LEFT OUTER JOIN ""group_relationship_field_data"" ""gcfd_2"" ON gcfd.gid=gcfd_2.gid AND gcfd_2.plugin_id='?' AND gcfd_2.entity_id='?' WHERE ((((node_field_data.nid = '?')) AND (""node_field_data"".""deleted"" IS NULL)) AND (""node_field_data"".""","SELECT ""node_field_data"".""created"" AS ""node_field_data_created"", ""node_field_data"".""nid"" AS ""nid"" FROM ""node_field_data"" ""node_field_data"" LEFT OUTER JOIN ""group_relationship_field_data"" ""gcfd"" ON node_field_data.nid=gcfd.entity_id AND gcfd.plugin_id IN ('group_node:blog_entry', 'group_node:faculty_profile', 'group_node:landing_page', 'group_node:news', 'group_node:page', 'group_node:webform') LEFT OUTER JOIN ""group_relationship_field_data"" ""gcfd_2"" ON gcfd.gid=gcfd_2.gid AND gcfd_2.plugin_id='group_membership' AND gcfd_2.entity_id='0' WHERE ((((node_field_data.nid = '106836')) AND (""node_field_data"".""deleted"" IS NULL)) AND (""node_field_data"".""status"" = '1')) AND ((""gcfd"".""entity_id"" IS NULL) OR ((""node_field_data"".""status"" = '1') AND ((""gcfd"".""type"" IN ('blogs-group_node-blog_entry', 'group_content_type_09b97a60a49a5', 'group_content_type_3e14625a6a223', 'group_content_type_578ab3b2fd612', 'program_pages-group_node-news', 'private_drafts-group_node-page', 'program_pages-group_node-page', 'program_pages-group_node-webform')) AND (""gcfd_2"".""entity_id"" IS NULL)))) ORDER BY ""node_field_data_created"" DESC LIMIT 1 OFFSET 0;",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,4,6,0.004082,0.000810,1086,162,"SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = '?') AND (""expanded"" = '?') AND (""has_children"" = '?') AND (""enabled"" = '?') AND (""parent"" IN ('?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?'","SELECT ""menu_tree"".""id"" AS ""id"" FROM ""menu_tree"" ""menu_tree"" WHERE (""menu_name"" = 'main') AND (""expanded"" = '1') AND (""has_children"" = '1') AND (""enabled"" = '1') AND (""parent"" IN ('menu_link_content:25b58187-7d2d-4b33-8b3a-8909f8355c1d', 'menu_link_content:f117c17b-6c19-4341-915e-a74af5628d76', 'menu_link_content:0f171712-dfaa-42d0-8e50-c3ee782f1e1e', '', 'menu_link_content:e67f7942-af57-4733-b9bf-2ca06bba282d', 'menu_link_content:a28371bf-b490-4992-ae3e-12c0cafee0b6', 'menu_link_content:f3df6206-69c7-499a-873d-3e42357fc6c8', 'menu_link_content:0fefbfb9-5592-4ee7-8c69-572a5905f025', 'menu_link_content:e240e90f-86a2-4fa3-b160-07b759f2ef41', 'menu_link_content:68231849-6845-41aa-9d9b-25bbcda22bb4', 'menu_link_content:53a3985e-822e-4376-890e-9f07975c1a0a', 'menu_link_content:06d06882-1d18-46b1-821d-10b6612170c0', 'menu_link_content:09023478-b82a-4830-8400-0cd77730085e', 'menu_link_content:a0e5833e-3b99-40ec-b5de-de9940f2712d', 'menu_link_content:90d8c5f6-c1f5-4424-a8d5-00b93e454769', 'menu_link_content:b35ac8e8-fa8b-4cc4-9f10-ae6e021799e4', 'menu_link_content:a3b3a902-10d2-43b9-8f0b-3f296a781115', 'menu_link_content:ecce7b27-9d1f-4415-9a1b-b2e2a00c3147', 'menu_link_content:7e93475c-94e2-4ded-9cbe-7b59fd557d09', 'menu_link_content:427bddd6-d17e-46a9-80bd-44eda5d6548f', 'menu_link_content:8e1363c8-8934-4b9c-bf25-5f9e28d8620b', 'menu_link_content:e74f4b5c-58a5-46ca-ab8d-7e019da09d7e', 'menu_link_content:d6f26b2f-62a5-4688-9e80-47aa7735fcb4', 'menu_link_content:e0ef3bcb-6ea4-4d7d-a84d-3e42174ad39c', 'menu_link_content:22873e72-8383-483d-98f6-454aee87d7e5', 'menu_link_content:8f9be8c2-31c0-4bb4-b63c-7d6a535fbba0', 'menu_link_content:564f220c-88a4-450c-b843-49a17154beec', 'menu_link_content:ccc258ec-a585-48af-a239-4e82d42762b2', 'menu_link_content:ecfc6c66-b3a5-47cd-8174-0380d3678407', 'menu_link_content:82dcf369-6300-4e4c-b6e5-6080f861d6b6', 'menu_link_content:2779b423-df0f-45b7-8a1e-334c7353c666', 'menu_link_content:d266d264-91b1-4429-b25d-ccd33086e551', 'menu_link_content",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,5,38,0.004009,0.000250,38,38,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_config"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_config"" WHERE ""cid"" IN ( 'last_write_timestamp_cache_config' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,6,46,0.003066,0.000160,46,46,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_entity"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_entity"" WHERE ""cid"" IN ( 'values:node:106836' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,7,1,0.003027,0.003027,45,1,"SELECT ""base_table"".""vid"" AS ""vid"", ""base_table"".""nid"" AS ""nid"" FROM ""node_revision"" ""base_table"" INNER JOIN (SELECT ""subquery_base_table"".""nid"" AS ""nid"", MAX(subquery_base_table.vid) AS ""maximum_revision_id"" FROM ""node_revision"" ""subquery_base_table"" GROUP BY ""subquery_base_table"".""nid"") ""sq_base_table"" ON base_table.nid = sq_base_table.nid AND base_table.vid = sq_base_table.maximum_revision_id INNER JOIN ""node_field_data"" ""node_field_data"" ON ""node_field_data"".""nid"" = ""base_table"".""nid"" LEFT JOIN ""node_field_revi","SELECT ""base_table"".""vid"" AS ""vid"", ""base_table"".""nid"" AS ""nid"" FROM ""node_revision"" ""base_table"" INNER JOIN (SELECT ""subquery_base_table"".""nid"" AS ""nid"", MAX(subquery_base_table.vid) AS ""maximum_revision_id"" FROM ""node_revision"" ""subquery_base_table"" GROUP BY ""subquery_base_table"".""nid"") ""sq_base_table"" ON base_table.nid = sq_base_table.nid AND base_table.vid = sq_base_table.maximum_revision_id INNER JOIN ""node_field_data"" ""node_field_data"" ON ""node_field_data"".""nid"" = ""base_table"".""nid"" LEFT JOIN ""node_field_revision"" ""node_field_revision"" ON ""node_field_revision"".""vid"" = ""base_table"".""vid"" WHERE (""node_field_data"".""nid"" = '106836') AND (""node_field_revision"".""deleted"" IS NULL);",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,8,29,0.002851,0.000214,26,26,"SELECT ""name"", ""value"" FROM ""key_value"" WHERE ""name"" IN ( '?' ) AND ""collection"" = '?';","SELECT ""name"", ""value"" FROM ""key_value"" WHERE ""name"" IN ( 'system.maintenance_mode' ) AND ""collection"" = 'state';",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,9,7,0.002613,0.000837,6,6,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_default"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_default"" WHERE ""cid"" IN ( 'views_data:search_api_index_acquia_search_index:en' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
news hub view,/news,200,0.442763,0.437741,380,0.068087,0.004930,3238,859,10,11,0.001873,0.001139,8,8,"SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_data"" WHERE ""cid"" IN ( '?' ) ORDER BY ""cid"";","SELECT ""cid"", ""data"", ""created"", ""expire"", ""serialized"", ""tags"", ""checksum"" FROM ""cache_data"" WHERE ""cid"" IN ( 'route:[language]=en:[query_parameters]=csm219_sql_profile=news-hub-view-1778516921653,3384738d58c2a77c9e0d447fd84f32adc507d9ea:/news' ) ORDER BY ""cid"";",https://carlsonschool.ddev.site/news?csm219_sql_profile=news-hub-view-1778516921653
