mode,label,path,http_code,ttfb_s,total_s,size_download,cache_control,x_drupal_cache,x_drupal_dynamic_cache,x_drupal_cache_max_age,xhprof_run,xhprof_url,xhprof_total_ms,xhprof_mem_mb,xhprof_peak_mem_mb,xhprof_calls,top_exclusive,url,xhprof_file
cache_bust,event node,/events/20260508-finance-seminar-alexandre-corhay-university-toronto,200,0.625010,0.629537,300482,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a020068b021f,https://umn-d9.ddev.site/xhprof/index.php?run=6a020068b021f&source=ddev,649,64.2,65.2,0,105ms PDOStatement::execute; 22ms Drupal\Component\DependencyInjection\Container::get; 13ms unserialize; 12.5ms Drupal\Core\Cache\Cache::mergeContexts; 12.1ms apcu_fetch,https://carlsonschool.ddev.site/events/20260508-finance-seminar-alexandre-corhay-university-toronto?csm219_profile=cache_bust-event-node-1778516071933,/tmp/xhprof/6a020068b021f.ddev.xhprof
cache_bust,education abroad program,/education-abroad/programs/i-core-gold-block-prague,200,1.272335,1.278056,341575,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,300,6a02006a6b73c,https://umn-d9.ddev.site/xhprof/index.php?run=6a02006a6b73c&source=ddev,1323.3,64.9,67.3,0,225.2ms PDOStatement::execute; 35.4ms Drupal\Component\DependencyInjection\Container::get; 15.9ms Drupal\Core\Cache\Cache::mergeContexts; 15.4ms Composer\Autoload\{closure}; 14.8ms apcu_fetch,https://carlsonschool.ddev.site/education-abroad/programs/i-core-gold-block-prague?csm219_profile=cache_bust-education-abroad-program-1778516072984,/tmp/xhprof/6a02006a6b73c.ddev.xhprof
cache_bust,email/newsletter page,/faculty-research/institute-research-marketing/newsletter,200,0.655466,0.660170,297230,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a02006b781a3,https://umn-d9.ddev.site/xhprof/index.php?run=6a02006b781a3&source=ddev,683,56.5,57.5,0,118.7ms PDOStatement::execute; 22.5ms Drupal\Component\DependencyInjection\Container::get; 20.7ms unserialize; 13.4ms Drupal\Core\Cache\Cache::mergeContexts; 11.4ms Drupal\Component\Assertion\Inspector::assertAll,https://carlsonschool.ddev.site/faculty-research/institute-research-marketing/newsletter?csm219_profile=cache_bust-email-newsletter-page-1778516074683,/tmp/xhprof/6a02006b781a3.ddev.xhprof
cache_bust,conference speakers view,/conferences/hr-tomorrow/speakers,200,1.366420,1.371523,333278,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02006d46f72,https://umn-d9.ddev.site/xhprof/index.php?run=6a02006d46f72&source=ddev,1401.7,64.8,65.8,0,272.3ms PDOStatement::execute; 39.8ms Drupal\Component\DependencyInjection\Container::get; 31.6ms unserialize; 19.3ms apcu_store; 18ms Drupal\Core\Cache\Cache::mergeContexts,https://carlsonschool.ddev.site/conferences/hr-tomorrow/speakers?csm219_profile=cache_bust-conference-speakers-view-1778516075752,/tmp/xhprof/6a02006d46f72.ddev.xhprof
cache_bust,student node,/node/129326,200,0.695721,0.700424,293624,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02006e61093,https://umn-d9.ddev.site/xhprof/index.php?run=6a02006e61093&source=ddev,726.1,56.6,57.6,0,130.8ms PDOStatement::execute; 22.5ms Drupal\Component\DependencyInjection\Container::get; 13.7ms Drupal\Core\Cache\Cache::mergeContexts; 13.4ms apcu_fetch; 12.3ms unserialize,https://carlsonschool.ddev.site/node/129326?csm219_profile=cache_bust-student-node-1778516077542,/tmp/xhprof/6a02006e61093.ddev.xhprof
cache_bust,quiz node,/em/msmk/i-fit,200,0.769310,0.776907,301617,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02006f96a34,https://umn-d9.ddev.site/xhprof/index.php?run=6a02006f96a34&source=ddev,833.2,60.5,61.5,0,188.5ms PDOStatement::execute; 24.1ms Drupal\Component\DependencyInjection\Container::get; 14.1ms apcu_fetch; 13.8ms Drupal\Core\Cache\Cache::mergeContexts; 12.6ms unserialize,https://carlsonschool.ddev.site/em/msmk/i-fit?csm219_profile=cache_bust-quiz-node-1778516078653,/tmp/xhprof/6a02006f96a34.ddev.xhprof
cache_bust,alumni default page,/alumni/events/1st-tuesday,200,5.220870,5.226211,334371,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,300,6a0200754fefd,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200754fefd&source=ddev,5245.2,83.5,83.9,0,996ms PDOStatement::execute; 474.1ms usleep; 169.2ms Drupal\Component\Assertion\Inspector::assertAll; 141.1ms Drupal\Component\DependencyInjection\Container::get; 93.9ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/alumni/events/1st-tuesday?csm219_profile=cache_bust-alumni-default-page-1778516079906,/tmp/xhprof/6a0200754fefd.ddev.xhprof
cache_bust,magazine issue,/discovery/fall-2021,200,1.154893,1.159655,313210,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),-1 (Permanent),6a020076db0db,https://umn-d9.ddev.site/xhprof/index.php?run=6a020076db0db&source=ddev,1184,66.6,67.6,0,180ms PDOStatement::execute; 39.6ms Drupal\Component\DependencyInjection\Container::get; 16.3ms Drupal\Core\Cache\Cache::mergeContexts; 14.4ms Drupal\menu_link_content\Plugin\Menu\MenuLinkContent::create; 14.2ms apcu_fetch,https://carlsonschool.ddev.site/discovery/fall-2021?csm219_profile=cache_bust-magazine-issue-1778516085588,/tmp/xhprof/6a020076db0db.ddev.xhprof
cache_bust,webform node,/node/118271,301,0.070642,0.070851,758,"max-age=300, public, stale-if-error=900, stale-while-revalidate=86400",MISS,,-1 (Permanent),6a0200775846e,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200775846e&source=ddev,87.2,22.8,23,0,19.8ms PDOStatement::execute; 6.3ms unserialize; 3.8ms apcu_fetch; 3.3ms json_decode; 1.3ms Composer\Autoload\{closure},https://carlsonschool.ddev.site/node/118271?csm219_profile=cache_bust-webform-node-1778516087145,/tmp/xhprof/6a0200775846e.ddev.xhprof
cache_bust,give page,/give,200,5.254830,5.260897,320385,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02007d0830c,https://umn-d9.ddev.site/xhprof/index.php?run=6a02007d0830c&source=ddev,5296,84.4,86.7,0,1090.5ms PDOStatement::execute; 480.7ms usleep; 164.6ms Drupal\Component\Assertion\Inspector::assertAll; 131.9ms Drupal\Component\DependencyInjection\Container::get; 90.8ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/give?csm219_profile=cache_bust-give-page-1778516087608,/tmp/xhprof/6a02007d0830c.ddev.xhprof
cache_bust,degree finder view,/graduate/resources/find-degree,200,5.050754,5.058715,350157,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a0200827f925,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200827f925&source=ddev,5130.7,86.7,89.1,0,1025.7ms PDOStatement::execute; 490.6ms usleep; 160.3ms Drupal\Component\Assertion\Inspector::assertAll; 125.1ms Drupal\Component\DependencyInjection\Container::get; 88.6ms Drupal\Core\Cache\Context\CacheContextsManager::optimizeTokens,https://carlsonschool.ddev.site/graduate/resources/find-degree?csm219_profile=cache_bust-degree-finder-view-1778516093270,/tmp/xhprof/6a0200827f925.ddev.xhprof
cache_bust,conference payment reimbursement page,/conferences/convene/convene-conference-schedule/Payment_Reimbursement,200,0.641146,0.645771,290592,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02008393f8d,https://umn-d9.ddev.site/xhprof/index.php?run=6a02008393f8d&source=ddev,674,53.9,55,0,138.5ms PDOStatement::execute; 25.5ms unserialize; 21ms Drupal\Component\DependencyInjection\Container::get; 13.3ms Drupal\Core\Cache\Cache::mergeContexts; 12.6ms Composer\Autoload\{closure},https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement?csm219_profile=cache_bust-conference-payment-reimbursement-page-1778516098782,/tmp/xhprof/6a02008393f8d.ddev.xhprof
cold_cr,homepage,/,200,11.494218,11.500536,331868,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a02009f29ef3,https://umn-d9.ddev.site/xhprof/index.php?run=6a02009f29ef3&source=ddev,11595.2,158.1,161.5,0,2333.4ms PDOStatement::execute; 502.2ms usleep; 384.9ms gc_collect_cycles; 295.6ms Composer\Autoload\{closure}; 196.8ms Drupal\Component\DependencyInjection\Container::get,https://carlsonschool.ddev.site/?csm219_profile=cold_cr-homepage-1778516115434,/tmp/xhprof/6a02009f29ef3.ddev.xhprof
cold_cr,requested executive education courses,/executive-education/courses,200,10.887322,10.894045,340492,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a0200baaa89d,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200baaa89d&source=ddev,10975.6,166.2,167.7,0,2011.3ms PDOStatement::execute; 513.8ms usleep; 399.1ms gc_collect_cycles; 284.3ms Composer\Autoload\{closure}; 197.7ms Drupal\Component\Assertion\Inspector::assertAll,https://carlsonschool.ddev.site/executive-education/courses?csm219_profile=cold_cr-requested-executive-education-courses-1778516143581,/tmp/xhprof/6a0200baaa89d.ddev.xhprof
cold_cr,requested full-time mba,/graduate/mba/full-time,200,11.950693,11.961799,428484,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,UNCACHEABLE (poor cacheability),0 (Uncacheable),6a0200d6519dd,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200d6519dd&source=ddev,12012.2,174.3,175.7,0,2115.9ms PDOStatement::execute; 538.3ms usleep; 385.3ms gc_collect_cycles; 294.6ms Composer\Autoload\{closure}; 206.2ms Drupal\Component\DependencyInjection\Container::get,https://carlsonschool.ddev.site/graduate/mba/full-time?csm219_profile=cold_cr-requested-full-time-mba-1778516170136,/tmp/xhprof/6a0200d6519dd.ddev.xhprof
cold_cr,news hub view,/news,200,9.993467,9.998928,311636,"must-revalidate, no-cache, private",UNCACHEABLE (response policy),UNCACHEABLE (poor cacheability),0 (Uncacheable),6a0200ef74e43,https://umn-d9.ddev.site/xhprof/index.php?run=6a0200ef74e43&source=ddev,9848.2,169.5,175,0,1386.9ms PDOStatement::execute; 515.9ms curl_exec; 479.3ms usleep; 306.4ms Composer\Autoload\{closure}; 283.2ms gc_collect_cycles,https://carlsonschool.ddev.site/news?csm219_profile=cold_cr-news-hub-view-1778516197249,/tmp/xhprof/6a0200ef74e43.ddev.xhprof
cold_cr,graduate landing page,/graduate,200,11.147309,11.157507,405721,"max-age=300, public, s-maxage=2628000, stale-if-error=900, stale-while-revalidate=86400",MISS,MISS,-1 (Permanent),6a02010878a8d,https://umn-d9.ddev.site/xhprof/index.php?run=6a02010878a8d&source=ddev,10945.8,154.4,156.5,0,2036ms PDOStatement::execute; 477.1ms usleep; 280.6ms Composer\Autoload\{closure}; 198.1ms Drupal\Component\DependencyInjection\Container::get; 177.2ms Drupal\Component\Assertion\Inspector::assertAll,https://carlsonschool.ddev.site/graduate?csm219_profile=cold_cr-graduate-landing-page-1778516220917,/tmp/xhprof/6a02010878a8d.ddev.xhprof
